learning_rate,epochs,accuracy,f1_score
0.001,50.0,1.0,1.0
0.001,100.0,0.9895833333333334,0.9895799391767133
0.001,150.0,0.9895833333333334,0.9895799391767133
0.1,150.0,0.9583333333333334,0.9582244008714597
0.1,100.0,0.9479166666666666,0.9479223186833062
0.05,150.0,0.9479166666666666,0.9478996958835669
0.05,50.0,0.9375,0.9375
0.05,100.0,0.9166666666666666,0.9165942028985508
0.1,50.0,0.7708333333333334,0.7708333333333334
0.001,10.0,0.75,0.7419028340080972
0.05,10.0,0.625,0.5810546875
0.1,10.0,0.6041666666666666,0.569991302972802
