learning_rate,epochs,accuracy,f1_score
0.001,150.0,1.0,1.0
0.001,100.0,0.9836065573770492,0.9835515612038662
0.05,100.0,0.7540983606557377,0.7297036670228569
0.001,50.0,0.7213114754098361,0.7235803100740708
0.05,150.0,0.7213114754098361,0.7226610566427182
0.05,50.0,0.7213114754098361,0.6936641559592379
0.001,10.0,0.6557377049180327,0.5999430666956915
0.05,10.0,0.5573770491803278,0.5317071183125756
0.1,50.0,0.5737704918032787,0.5262220054769855
0.1,150.0,0.5573770491803278,0.502192889078135
0.1,10.0,0.5901639344262295,0.4380598276153456
0.1,100.0,0.45901639344262296,0.3376836475789666
