learning_rate,epochs,accuracy,f1_score
0.001,50.0,0.9864864864864865,0.9864533838530447
0.001,100.0,0.9864864864864865,0.9864533838530447
0.001,150.0,0.972972972972973,0.972829647829648
0.1,50.0,0.7567567567567568,0.7537744641192917
0.1,100.0,0.7432432432432432,0.7336053034166241
0.1,150.0,0.7297297297297297,0.7307351994851995
0.05,100.0,0.7432432432432432,0.7159334091372926
0.05,50.0,0.7297297297297297,0.6978359478359478
0.05,150.0,0.6756756756756757,0.6768610715979138
0.001,10.0,0.6621621621621622,0.6087950270763127
0.1,10.0,0.6486486486486487,0.6071867321867322
0.05,10.0,0.6216216216216216,0.5434113539376697
