learning_rate,epochs,accuracy,f1_score
0.001,100.0,1.0,1.0
0.001,150.0,1.0,1.0
0.001,50.0,0.6363636363636364,0.6118881118881119
0.05,150.0,0.6666666666666666,0.6091825307950727
0.05,100.0,0.6060606060606061,0.5076939866855833
0.1,10.0,0.5454545454545454,0.3850267379679145
0.001,10.0,0.45454545454545453,0.2840909090909091
0.05,10.0,0.45454545454545453,0.2840909090909091
0.05,50.0,0.45454545454545453,0.2840909090909091
0.1,50.0,0.45454545454545453,0.2840909090909091
0.1,100.0,0.45454545454545453,0.2840909090909091
0.1,150.0,0.45454545454545453,0.2840909090909091
