learning_rate,epochs,accuracy,f1_score
0.001,100.0,1.0,1.0
0.001,150.0,1.0,1.0
0.1,150.0,0.8032786885245902,0.803596664782363
0.05,100.0,0.7868852459016393,0.781880594141991
0.1,50.0,0.7377049180327869,0.7300251070742874
0.001,50.0,0.7213114754098361,0.7216123537089888
0.1,100.0,0.7213114754098361,0.714766930801065
0.05,10.0,0.5737704918032787,0.5371947330907454
0.05,150.0,0.5737704918032787,0.5028188724510196
0.001,10.0,0.5409836065573771,0.49096258932324505
0.05,50.0,0.5573770491803278,0.4155801528109557
0.1,10.0,0.47540983606557374,0.32392390637327956
