learning_rate,epochs,accuracy,f1_score
0.001,150.0,0.9830508474576272,0.9830508474576272
0.001,100.0,0.9661016949152542,0.9660822131307228
0.1,150.0,0.7796610169491526,0.7693604831295744
0.05,150.0,0.7627118644067796,0.7606520715630884
0.05,50.0,0.7627118644067796,0.7564307078763708
0.05,100.0,0.7627118644067796,0.7564307078763708
0.001,50.0,0.7627118644067796,0.7496724801441087
0.001,10.0,0.6101694915254238,0.5974864522080018
0.1,50.0,0.576271186440678,0.5564624675568739
0.05,10.0,0.5423728813559322,0.513118179707453
0.1,10.0,0.4915254237288136,0.32395993836671805
0.1,100.0,0.4915254237288136,0.32395993836671805
