learning_rate,epochs,accuracy,f1_score
0.001,100.0,1.0,1.0
0.001,150.0,1.0,1.0
0.05,100.0,0.9074074074074074,0.9076940717807592
0.1,150.0,0.9074074074074074,0.9076940717807592
0.05,50.0,0.8888888888888888,0.8882655446470314
0.001,50.0,0.7962962962962963,0.7969269579176699
0.1,10.0,0.7407407407407407,0.7407407407407407
0.05,150.0,0.7407407407407407,0.7251461988304093
0.1,100.0,0.6851851851851852,0.6751928070379414
0.1,50.0,0.7037037037037037,0.6707295530824943
0.001,10.0,0.6481481481481481,0.6246074339097595
0.05,10.0,0.6481481481481481,0.6165109412288153
