learning_rate,epochs,accuracy,f1_score
0.001,50.0,0.9354838709677419,0.9354838709677419
0.001,100.0,0.9354838709677419,0.9354838709677419
0.001,150.0,0.9354838709677419,0.9354838709677419
0.05,100.0,0.9354838709677419,0.9286140979689366
0.05,150.0,0.9032258064516129,0.8987624264556705
0.1,150.0,0.9032258064516129,0.8851277754503561
0.05,10.0,0.8064516129032258,0.8187096774193549
0.1,100.0,0.8387096774193549,0.8085462924172602
0.1,50.0,0.8064516129032258,0.8064516129032258
0.001,10.0,0.7741935483870968,0.7933356965615029
0.1,10.0,0.6774193548387096,0.7197784294558488
0.05,50.0,0.4838709677419355,0.5393322014714206
