learning_rate,epochs,accuracy,f1_score
0.001,50.0,0.9864864864864865,0.9864236583460355
0.001,150.0,0.972972972972973,0.972972972972973
0.001,100.0,0.972972972972973,0.9727082184225042
0.1,150.0,0.7972972972972973,0.784771482445901
0.05,150.0,0.7837837837837838,0.7816657473800331
0.1,50.0,0.7027027027027027,0.6962612612612612
0.001,10.0,0.7027027027027027,0.6746246246246247
0.05,100.0,0.6621621621621622,0.6656845248394545
0.05,10.0,0.7027027027027027,0.6354263746505125
0.05,50.0,0.581081081081081,0.5891862011264996
0.1,10.0,0.6486486486486487,0.5104120513956579
0.1,100.0,0.6486486486486487,0.5104120513956579
