learning_rate,epochs,accuracy,f1_score
0.001,150.0,1.0,1.0
0.001,100.0,0.9830508474576272,0.9829786136263963
0.001,50.0,0.8305084745762712,0.8268977528567181
0.05,50.0,0.7288135593220338,0.7316849451645066
0.05,150.0,0.7627118644067796,0.7301192353173038
0.1,100.0,0.7627118644067796,0.7301192353173038
0.1,150.0,0.7288135593220338,0.681150487930149
0.001,10.0,0.6779661016949152,0.6731730390224675
0.05,100.0,0.6610169491525424,0.6649403640929065
0.1,50.0,0.5932203389830508,0.561526801708695
0.05,10.0,0.4576271186440678,0.4526298255111814
0.1,10.0,0.3898305084745763,0.21868540719305501
