learning_rate,epochs,accuracy,f1_score
0.001,10.0,1.0,1.0
0.001,50.0,1.0,1.0
0.001,100.0,1.0,1.0
0.001,150.0,0.971830985915493,0.9714782199691656
0.1,150.0,0.9014084507042254,0.897837155752676
0.05,100.0,0.9014084507042254,0.8959106894290814
0.1,50.0,0.8873239436619719,0.8797970006272453
0.05,150.0,0.8732394366197183,0.8661708864088189
0.05,50.0,0.8732394366197183,0.8632552069171787
0.1,100.0,0.8450704225352113,0.8364310833885565
0.1,10.0,0.7887323943661971,0.7720920115286312
0.05,10.0,0.7887323943661971,0.7597176050464589
