learning_rate,epochs,accuracy,f1_score
0.05,100.0,0.7222222222222222,0.708994708994709
0.1,100.0,0.6666666666666666,0.6406926406926406
0.001,10.0,0.6111111111111112,0.5655890003716091
0.001,50.0,0.6111111111111112,0.5655890003716091
0.001,100.0,0.6111111111111112,0.5655890003716091
0.001,150.0,0.6111111111111112,0.5655890003716091
0.05,50.0,0.6111111111111112,0.5655890003716091
0.1,50.0,0.6111111111111112,0.5655890003716091
0.1,150.0,0.6111111111111112,0.5655890003716091
0.05,150.0,0.5555555555555556,0.48148148148148145
0.05,10.0,0.4444444444444444,0.27350427350427353
0.1,10.0,0.4444444444444444,0.27350427350427353
