learning_rate,epochs,accuracy,f1_score
0.001,10.0,1.0,1.0
0.001,50.0,0.9545454545454546,0.9540503069914834
0.001,100.0,0.8181818181818182,0.8133116883116883
0.001,150.0,0.7727272727272727,0.761755485893417
0.05,50.0,0.7272727272727273,0.7199675324675324
0.1,100.0,0.7272727272727273,0.7064935064935065
0.05,100.0,0.6818181818181818,0.6783521489403842
0.1,150.0,0.6818181818181818,0.6783521489403842
0.05,150.0,0.6818181818181818,0.6462891946762915
0.1,10.0,0.6363636363636364,0.6363636363636364
0.1,50.0,0.5909090909090909,0.5934928229665072
0.05,10.0,0.5,0.4114942528735632
