learning_rate,epochs,accuracy,f1_score
0.001,10.0,1.0,1.0
0.001,50.0,1.0,1.0
0.001,100.0,1.0,1.0
0.001,150.0,1.0,1.0
0.1,150.0,0.6923076923076923,0.6941391941391941
0.1,100.0,0.6923076923076923,0.6923076923076923
0.05,150.0,0.6538461538461539,0.6554030676969208
0.1,50.0,0.6153846153846154,0.6153846153846154
0.05,10.0,0.6153846153846154,0.6085164835164836
0.1,10.0,0.5769230769230769,0.5249662618083671
0.05,100.0,0.5384615384615384,0.4951923076923077
0.05,50.0,0.46153846153846156,0.46153846153846156
