learning_rate,epochs,accuracy,f1_score
0.001,10.0,1.0,1.0
0.001,50.0,1.0,1.0
0.001,100.0,1.0,1.0
0.1,50.0,0.8571428571428571,0.8398268398268397
0.001,150.0,0.7142857142857143,0.7142857142857143
0.1,10.0,0.7142857142857143,0.7142857142857143
0.05,10.0,0.5714285714285714,0.5904761904761904
0.05,150.0,0.42857142857142855,0.42857142857142855
0.1,100.0,0.2857142857142857,0.2857142857142857
0.05,50.0,0.14285714285714285,0.17857142857142858
0.05,100.0,0.2857142857142857,0.12698412698412698
0.1,150.0,0.2857142857142857,0.12698412698412698
