learning_rate,epochs,accuracy,f1_score
0.001,150.0,1.0,1.0
0.001,50.0,0.9761904761904762,0.9762589337057422
0.001,10.0,0.9761904761904762,0.9760932944606412
0.001,100.0,0.9761904761904762,0.9760932944606412
0.1,150.0,0.7857142857142857,0.7848634632525727
0.1,100.0,0.7857142857142857,0.7824175824175825
0.05,50.0,0.7380952380952381,0.7394383394383395
0.1,50.0,0.5476190476190477,0.5489197404091021
0.05,100.0,0.5714285714285714,0.5142857142857143
0.05,150.0,0.5476190476190477,0.47756381549484994
0.05,10.0,0.47619047619047616,0.4635989010989011
0.1,10.0,0.5714285714285714,0.41558441558441556
