learning_rate,epochs,accuracy,f1_score
0.001,10.0,0.9444444444444444,0.946050365405204
0.001,50.0,0.9259259259259259,0.9286062378167641
0.05,10.0,0.8148148148148148,0.8037918871252206
0.001,100.0,0.7777777777777778,0.7858187134502924
0.05,150.0,0.7592592592592593,0.769472502805836
0.1,50.0,0.7962962962962963,0.7583503077293734
0.05,50.0,0.7592592592592593,0.7562871513488797
0.1,100.0,0.7592592592592593,0.7491655510932619
0.05,100.0,0.7592592592592593,0.7401723974614001
0.001,150.0,0.6851851851851852,0.703520421830281
0.1,10.0,0.7407407407407407,0.6304176516942475
0.1,150.0,0.7407407407407407,0.6304176516942475
