learning_rate,epochs,accuracy,f1_score
0.001,10.0,1.0,1.0
0.001,100.0,1.0,1.0
0.001,50.0,0.9885057471264368,0.9884805990277116
0.001,150.0,0.9770114942528736,0.9770114942528736
0.05,50.0,0.9770114942528736,0.9770114942528736
0.05,150.0,0.9770114942528736,0.9770114942528736
0.1,100.0,0.9770114942528736,0.9770114942528736
0.1,150.0,0.9770114942528736,0.9770114942528736
0.05,100.0,0.9655172413793104,0.9655827179316891
0.1,10.0,0.9540229885057471,0.9542946035038334
0.1,50.0,0.9540229885057471,0.9541845293569432
0.05,10.0,0.9080459770114943,0.9087307410124724
