n_estimators,max_depth,learning_rate,accuracy,f1_score
10,3,0.01,0.84,0.8181818181818182
10,5,0.01,0.84,0.8181818181818182
20,3,0.01,0.84,0.8181818181818182
20,5,0.01,0.84,0.8181818181818182
30,3,0.01,0.84,0.8181818181818182
30,5,0.01,0.84,0.8181818181818182
10,3,0.05,0.84,0.8181818181818182
10,5,0.05,0.84,0.8260869565217391
20,3,0.05,0.84,0.8181818181818182
20,5,0.05,0.88,0.8695652173913043
30,3,0.05,0.86,0.8372093023255814
30,5,0.05,0.9,0.8888888888888888
10,3,0.1,0.84,0.8181818181818182
10,5,0.1,0.88,0.875
20,3,0.1,0.86,0.8372093023255814
20,5,0.1,0.9,0.8888888888888888
30,3,0.1,0.88,0.8636363636363636
30,5,0.1,0.92,0.9130434782608695
