n_estimators,max_depth,learning_rate,accuracy,f1_score
20,5,0.05,0.7058823529411765,0.7058823529411765
30,3,0.05,0.7058823529411765,0.7058823529411765
30,3,0.1,0.7058823529411765,0.7058823529411765
20,5,0.1,0.7058823529411765,0.7058823529411765
20,3,0.1,0.7058823529411765,0.7058823529411765
10,5,0.1,0.7058823529411765,0.7058823529411765
10,3,0.1,0.7058823529411765,0.7058823529411765
30,5,0.05,0.7058823529411765,0.7058823529411765
30,5,0.1,0.7058823529411765,0.7058823529411765
20,3,0.05,0.7058823529411765,0.7058823529411765
10,5,0.05,0.7058823529411765,0.7058823529411765
10,3,0.05,0.7058823529411765,0.7058823529411765
30,5,0.01,0.7058823529411765,0.7058823529411765
30,3,0.01,0.7058823529411765,0.7058823529411765
10,5,0.01,0.4117647058823529,0.0
20,5,0.01,0.4117647058823529,0.0
20,3,0.01,0.4117647058823529,0.0
10,3,0.01,0.4117647058823529,0.0
