n_estimators,max_depth,learning_rate,accuracy,f1_score
10,3,0.01,0.9,0.9090909090909091
10,5,0.01,0.9,0.9090909090909091
30,3,0.1,0.9,0.9090909090909091
20,5,0.1,0.9,0.9090909090909091
20,3,0.1,0.9,0.9090909090909091
10,5,0.1,0.9,0.9090909090909091
10,3,0.1,0.9,0.9090909090909091
30,5,0.05,0.9,0.9090909090909091
30,3,0.05,0.9,0.9090909090909091
20,5,0.05,0.9,0.9090909090909091
20,3,0.05,0.9,0.9090909090909091
10,5,0.05,0.9,0.9090909090909091
10,3,0.05,0.9,0.9090909090909091
30,5,0.01,0.9,0.9090909090909091
30,3,0.01,0.9,0.9090909090909091
20,5,0.01,0.9,0.9090909090909091
20,3,0.01,0.9,0.9090909090909091
30,5,0.1,0.9,0.9090909090909091
