n_estimators,max_depth,learning_rate,accuracy,f1_score
30,5,0.05,0.9583333333333334,0.967741935483871
10,5,0.1,0.875,0.9090909090909091
30,5,0.1,0.875,0.9032258064516129
20,5,0.1,0.875,0.9032258064516129
30,3,0.1,0.7916666666666666,0.8571428571428571
30,3,0.05,0.75,0.8333333333333334
20,3,0.1,0.75,0.8333333333333334
20,5,0.05,0.75,0.8333333333333334
20,3,0.05,0.6666666666666666,0.7894736842105263
10,5,0.05,0.6666666666666666,0.7894736842105263
10,3,0.1,0.6666666666666666,0.7894736842105263
10,5,0.01,0.625,0.7692307692307693
10,3,0.05,0.625,0.7692307692307693
30,5,0.01,0.625,0.7692307692307693
30,3,0.01,0.625,0.7692307692307693
20,5,0.01,0.625,0.7692307692307693
20,3,0.01,0.625,0.7692307692307693
10,3,0.01,0.625,0.7692307692307693
