n_estimators,max_depth,learning_rate,accuracy,f1_score
10,3,0.01,0.73,0.8439306358381503
10,5,0.01,0.73,0.8439306358381503
20,3,0.01,0.73,0.8439306358381503
20,5,0.01,0.73,0.8439306358381503
30,3,0.01,0.73,0.8439306358381503
30,5,0.01,0.73,0.8439306358381503
10,3,0.05,0.99,0.993103448275862
10,5,0.05,0.99,0.993103448275862
20,3,0.05,0.99,0.993103448275862
20,5,0.05,0.99,0.993103448275862
30,3,0.05,0.99,0.993103448275862
30,5,0.05,0.99,0.993103448275862
10,3,0.1,0.99,0.993103448275862
10,5,0.1,0.99,0.993103448275862
20,3,0.1,0.99,0.993103448275862
20,5,0.1,0.99,0.993103448275862
30,3,0.1,0.99,0.993103448275862
30,5,0.1,0.99,0.993103448275862
