n_estimators,max_depth,learning_rate,accuracy,f1_score
10,3,0.01,0.6904761904761905,0.0
10,5,0.01,0.6904761904761905,0.0
20,3,0.01,0.6904761904761905,0.0
20,5,0.01,0.6904761904761905,0.0
30,3,0.01,0.6904761904761905,0.0
30,5,0.01,0.6904761904761905,0.0
10,3,0.05,0.6904761904761905,0.0
10,5,0.05,0.6904761904761905,0.0
20,3,0.05,0.8333333333333334,0.72
20,5,0.05,0.8333333333333334,0.72
30,3,0.05,0.8333333333333334,0.72
30,5,0.05,0.8333333333333334,0.72
10,3,0.1,0.8333333333333334,0.72
10,5,0.1,0.8333333333333334,0.72
20,3,0.1,0.8333333333333334,0.72
20,5,0.1,0.8333333333333334,0.72
30,3,0.1,0.8333333333333334,0.72
30,5,0.1,0.8333333333333334,0.72
