n_estimators,max_depth,learning_rate,accuracy,f1_score
30,3,0.01,0.9090909090909091,0.9230769230769231
30,5,0.01,0.9090909090909091,0.9230769230769231
10,3,0.05,0.9090909090909091,0.9230769230769231
10,5,0.05,0.9090909090909091,0.9230769230769231
20,5,0.05,0.8181818181818182,0.8333333333333334
30,5,0.05,0.8181818181818182,0.8333333333333334
30,3,0.1,0.8181818181818182,0.8333333333333334
20,5,0.1,0.8181818181818182,0.8333333333333334
10,5,0.1,0.8181818181818182,0.8333333333333334
10,3,0.1,0.8181818181818182,0.8333333333333334
30,5,0.1,0.8181818181818182,0.8333333333333334
30,3,0.05,0.7272727272727273,0.7272727272727273
20,3,0.05,0.7272727272727273,0.7272727272727273
20,3,0.1,0.7272727272727273,0.7272727272727273
10,5,0.01,0.6363636363636364,0.6
20,5,0.01,0.6363636363636364,0.6
20,3,0.01,0.6363636363636364,0.6
10,3,0.01,0.6363636363636364,0.6
