n_estimators,max_depth,learning_rate,accuracy,f1_score
20,5,0.05,0.9811320754716981,0.8
20,3,0.05,0.9811320754716981,0.8
30,3,0.1,0.9811320754716981,0.8
20,5,0.1,0.9811320754716981,0.8
20,3,0.1,0.9811320754716981,0.8
30,5,0.05,0.9811320754716981,0.8
30,3,0.05,0.9811320754716981,0.8
30,5,0.1,0.9811320754716981,0.8
10,3,0.1,0.9622641509433962,0.5
10,5,0.1,0.9622641509433962,0.5
10,5,0.05,0.9433962264150944,0.0
10,5,0.01,0.9433962264150944,0.0
10,3,0.05,0.9433962264150944,0.0
30,5,0.01,0.9433962264150944,0.0
30,3,0.01,0.9433962264150944,0.0
20,5,0.01,0.9433962264150944,0.0
20,3,0.01,0.9433962264150944,0.0
10,3,0.01,0.9433962264150944,0.0
