n_estimators,max_depth,learning_rate,accuracy,f1_score
10,3,0.01,0.8018867924528302,0.0
10,5,0.01,0.8018867924528302,0.0
20,3,0.01,0.8018867924528302,0.0
20,5,0.01,0.8018867924528302,0.0
30,3,0.01,0.8018867924528302,0.0
30,5,0.01,0.8018867924528302,0.0
10,3,0.05,0.8018867924528302,0.0
10,5,0.05,0.8018867924528302,0.0
20,3,0.05,0.9150943396226415,0.7428571428571429
20,5,0.05,0.9150943396226415,0.7428571428571429
30,3,0.05,0.9150943396226415,0.7428571428571429
30,5,0.05,0.9245283018867925,0.7777777777777778
10,3,0.1,0.9150943396226415,0.7428571428571429
10,5,0.1,0.9150943396226415,0.7428571428571429
20,3,0.1,0.9245283018867925,0.7777777777777778
20,5,0.1,0.9528301886792453,0.8717948717948718
30,3,0.1,0.9339622641509434,0.8108108108108109
30,5,0.1,0.9622641509433962,0.9
