n_estimators,max_depth,learning_rate,accuracy,f1_score
20,5,0.05,0.9166666666666666,0.4
30,5,0.05,0.9166666666666666,0.4
10,5,0.01,0.8888888888888888,0.0
30,3,0.1,0.8888888888888888,0.0
20,5,0.1,0.8888888888888888,0.0
20,3,0.1,0.8888888888888888,0.0
10,5,0.1,0.8888888888888888,0.0
10,3,0.1,0.8888888888888888,0.0
30,3,0.05,0.8888888888888888,0.0
10,3,0.01,0.8888888888888888,0.0
20,3,0.05,0.8888888888888888,0.0
10,5,0.05,0.8888888888888888,0.0
10,3,0.05,0.8888888888888888,0.0
30,5,0.01,0.8888888888888888,0.0
30,3,0.01,0.8888888888888888,0.0
20,5,0.01,0.8888888888888888,0.0
20,3,0.01,0.8888888888888888,0.0
30,5,0.1,0.8888888888888888,0.0
