n_estimators,max_depth,learning_rate,accuracy,f1_score
20,5,0.1,0.9523809523809523,0.967741935483871
30,3,0.1,0.9285714285714286,0.9508196721311475
20,3,0.1,0.9285714285714286,0.9508196721311475
30,3,0.05,0.9285714285714286,0.9508196721311475
10,3,0.05,0.9047619047619048,0.9354838709677419
30,5,0.1,0.9047619047619048,0.9333333333333333
30,5,0.05,0.9047619047619048,0.9333333333333333
30,3,0.01,0.8809523809523809,0.9206349206349206
30,5,0.01,0.8809523809523809,0.9206349206349206
10,3,0.1,0.8809523809523809,0.9180327868852459
20,3,0.05,0.8809523809523809,0.9180327868852459
10,5,0.1,0.8333333333333334,0.8813559322033898
20,5,0.05,0.8333333333333334,0.8813559322033898
10,5,0.05,0.8333333333333334,0.8813559322033898
10,5,0.01,0.7380952380952381,0.8493150684931506
20,5,0.01,0.7380952380952381,0.8493150684931506
20,3,0.01,0.7380952380952381,0.8493150684931506
10,3,0.01,0.7380952380952381,0.8493150684931506
