n_estimators,max_depth,learning_rate,accuracy,f1_score
20,5,0.1,0.7931034482758621,0.5
30,3,0.1,0.7931034482758621,0.45454545454545453
30,5,0.1,0.7758620689655172,0.43478260869565216
30,5,0.05,0.7758620689655172,0.43478260869565216
30,3,0.05,0.7931034482758621,0.4
20,3,0.1,0.7931034482758621,0.4
10,3,0.1,0.7758620689655172,0.3157894736842105
20,5,0.05,0.7586206896551724,0.3
20,3,0.05,0.7586206896551724,0.2222222222222222
10,5,0.1,0.7413793103448276,0.21052631578947367
10,5,0.01,0.7413793103448276,0.0
10,5,0.05,0.7413793103448276,0.0
10,3,0.05,0.7413793103448276,0.0
30,5,0.01,0.7413793103448276,0.0
30,3,0.01,0.7413793103448276,0.0
20,5,0.01,0.7413793103448276,0.0
20,3,0.01,0.7413793103448276,0.0
10,3,0.01,0.7413793103448276,0.0
