n_estimators,max_depth,learning_rate,accuracy,f1_score
10,3,0.01,0.6579710144927536,0.6927083333333334
10,5,0.01,0.7304347826086957,0.7621483375959079
20,3,0.01,0.6840579710144927,0.6946778711484594
20,5,0.01,0.7420289855072464,0.7688311688311689
30,3,0.01,0.7159420289855073,0.6956521739130435
30,5,0.01,0.7507246376811594,0.7675675675675676
10,3,0.05,0.7130434782608696,0.6972477064220184
10,5,0.05,0.7681159420289855,0.7619047619047619
20,3,0.05,0.7159420289855073,0.711764705882353
20,5,0.05,0.7855072463768116,0.7771084337349398
30,3,0.05,0.7304347826086957,0.7223880597014926
30,5,0.05,0.7971014492753623,0.7878787878787878
10,3,0.1,0.7188405797101449,0.7015384615384616
10,5,0.1,0.7913043478260869,0.7869822485207101
20,3,0.1,0.7275362318840579,0.7151515151515152
20,5,0.1,0.8260869565217391,0.8214285714285714
30,3,0.1,0.7623188405797101,0.7530120481927711
30,5,0.1,0.8666666666666667,0.8647058823529412
