n_estimators,max_depth,learning_rate,accuracy,f1_score
10,5,0.1,0.8032786885245902,0.7391304347826086
30,5,0.05,0.7868852459016393,0.7346938775510204
10,5,0.05,0.8032786885245902,0.7272727272727273
20,5,0.1,0.7868852459016393,0.723404255319149
30,3,0.01,0.8032786885245902,0.7142857142857143
20,5,0.05,0.7868852459016393,0.7111111111111111
30,3,0.1,0.7868852459016393,0.6976744186046512
10,3,0.05,0.7868852459016393,0.6976744186046512
30,5,0.1,0.7704918032786885,0.6956521739130435
20,3,0.05,0.7540983606557377,0.6808510638297872
10,3,0.1,0.7377049180327869,0.6666666666666666
30,3,0.05,0.7377049180327869,0.6521739130434783
20,3,0.1,0.7377049180327869,0.6363636363636364
30,5,0.01,0.7540983606557377,0.6341463414634146
20,5,0.01,0.7540983606557377,0.6153846153846154
20,3,0.01,0.7540983606557377,0.6153846153846154
10,3,0.01,0.7049180327868853,0.47058823529411764
10,5,0.01,0.6885245901639344,0.42424242424242425
