n_estimators,max_depth,learning_rate,accuracy,f1_score
30,5,0.1,1.0,1.0
30,3,0.1,1.0,1.0
20,5,0.1,1.0,1.0
20,3,0.1,1.0,1.0
30,3,0.05,0.90625,0.88
10,5,0.1,0.90625,0.88
10,3,0.1,0.90625,0.88
30,5,0.05,0.90625,0.88
20,5,0.05,0.90625,0.88
20,3,0.05,0.90625,0.88
10,5,0.05,0.8125,0.7272727272727273
10,3,0.05,0.8125,0.7272727272727273
30,5,0.01,0.8125,0.7272727272727273
30,3,0.01,0.8125,0.7272727272727273
20,5,0.01,0.71875,0.5263157894736842
20,3,0.01,0.71875,0.5263157894736842
10,5,0.01,0.5625,0.0
10,3,0.01,0.5625,0.0
