n_estimators,max_depth,learning_rate,accuracy,f1_score
10,3,0.01,0.7791411042944786,0.6949152542372882
10,5,0.01,0.8282208588957055,0.7777777777777778
20,3,0.01,0.8282208588957055,0.78125
20,5,0.01,0.8773006134969326,0.8529411764705882
30,3,0.01,0.852760736196319,0.8181818181818182
30,5,0.01,0.8773006134969326,0.8529411764705882
10,3,0.05,0.8588957055214724,0.8321167883211679
10,5,0.05,0.9202453987730062,0.912751677852349
20,3,0.05,0.8650306748466258,0.8405797101449275
20,5,0.05,0.9263803680981595,0.92
30,3,0.05,0.8957055214723927,0.8776978417266187
30,5,0.05,0.9570552147239264,0.954248366013072
10,3,0.1,0.8650306748466258,0.8405797101449275
10,5,0.1,0.9325153374233128,0.9281045751633987
20,3,0.1,0.9202453987730062,0.9090909090909091
20,5,0.1,0.9693251533742331,0.9673202614379085
30,3,0.1,0.9631901840490797,0.96
30,5,0.1,0.9877300613496932,0.9868421052631579
