n_estimators,max_depth,learning_rate,accuracy,f1_score
10,3,0.01,0.7352941176470589,0.0
10,5,0.01,0.7352941176470589,0.0
20,3,0.01,0.7352941176470589,0.0
20,5,0.01,0.7352941176470589,0.0
30,3,0.01,0.7352941176470589,0.0
30,5,0.01,0.7352941176470589,0.0
10,3,0.05,0.7352941176470589,0.0
10,5,0.05,0.7352941176470589,0.0
20,3,0.05,0.7843137254901961,0.36538461538461536
20,5,0.05,0.7843137254901961,0.34
30,3,0.05,0.7875816993464052,0.3925233644859813
30,5,0.05,0.8169934640522876,0.5172413793103449
10,3,0.1,0.7777777777777778,0.32
10,5,0.1,0.7875816993464052,0.36893203883495146
20,3,0.1,0.8006535947712419,0.46017699115044247
20,5,0.1,0.8464052287581699,0.624
30,3,0.1,0.8137254901960784,0.5043478260869565
30,5,0.1,0.8594771241830066,0.6717557251908397
