n_estimators,max_depth,learning_rate,accuracy,f1_score
30,3,0.05,0.8360655737704918,0.8333333333333334
30,3,0.1,0.8360655737704918,0.8333333333333334
10,5,0.05,0.819672131147541,0.8253968253968254
20,5,0.05,0.819672131147541,0.819672131147541
20,5,0.1,0.819672131147541,0.819672131147541
20,3,0.1,0.819672131147541,0.819672131147541
10,5,0.1,0.819672131147541,0.819672131147541
10,3,0.1,0.819672131147541,0.819672131147541
30,5,0.05,0.819672131147541,0.819672131147541
30,5,0.1,0.819672131147541,0.819672131147541
20,3,0.05,0.819672131147541,0.819672131147541
10,3,0.05,0.7540983606557377,0.7692307692307693
30,3,0.01,0.7377049180327869,0.7647058823529411
30,5,0.01,0.7049180327868853,0.7428571428571429
20,5,0.01,0.6885245901639344,0.7397260273972602
20,3,0.01,0.6557377049180327,0.7341772151898734
10,5,0.01,0.5081967213114754,0.6739130434782609
10,3,0.01,0.5081967213114754,0.6739130434782609
