n_estimators,max_depth,learning_rate,accuracy,f1_score
20,3,0.1,0.864406779661017,0.8857142857142857
30,3,0.1,0.8305084745762712,0.8529411764705882
30,3,0.05,0.8135593220338984,0.8493150684931506
20,3,0.05,0.7966101694915254,0.8378378378378378
10,5,0.05,0.7796610169491526,0.8354430379746836
30,5,0.05,0.7966101694915254,0.8181818181818182
10,3,0.1,0.7627118644067796,0.8157894736842105
30,5,0.1,0.7966101694915254,0.8064516129032258
20,5,0.1,0.7966101694915254,0.8064516129032258
10,3,0.05,0.711864406779661,0.7848101265822784
10,5,0.1,0.7457627118644068,0.782608695652174
20,5,0.05,0.7457627118644068,0.782608695652174
10,5,0.01,0.559322033898305,0.717391304347826
30,5,0.01,0.559322033898305,0.717391304347826
30,3,0.01,0.559322033898305,0.717391304347826
20,5,0.01,0.559322033898305,0.717391304347826
20,3,0.01,0.559322033898305,0.717391304347826
10,3,0.01,0.559322033898305,0.717391304347826
