n_estimators,max_depth,learning_rate,accuracy,f1_score
30,5,0.1,0.8148148148148148,0.782608695652174
30,3,0.1,0.7777777777777778,0.75
30,5,0.05,0.7962962962962963,0.7441860465116279
30,3,0.01,0.7962962962962963,0.7317073170731707
10,3,0.05,0.7962962962962963,0.7317073170731707
20,5,0.1,0.7777777777777778,0.7272727272727273
10,3,0.1,0.7777777777777778,0.7142857142857143
20,3,0.05,0.7777777777777778,0.7142857142857143
10,5,0.1,0.7777777777777778,0.7142857142857143
20,3,0.1,0.7592592592592593,0.7111111111111111
20,5,0.01,0.7777777777777778,0.7
30,3,0.05,0.7592592592592593,0.6976744186046512
20,5,0.05,0.7592592592592593,0.6829268292682927
10,5,0.05,0.7407407407407407,0.6666666666666666
30,5,0.01,0.7407407407407407,0.6666666666666666
20,3,0.01,0.7037037037037037,0.5555555555555556
10,5,0.01,0.5740740740740741,0.0
10,3,0.01,0.5740740740740741,0.0
