n_estimators,max_depth,learning_rate,accuracy,f1_score
30,5,0.1,0.8709677419354839,0.9259259259259259
20,3,0.1,0.8709677419354839,0.9259259259259259
20,3,0.05,0.8387096774193549,0.9090909090909091
20,5,0.1,0.8387096774193549,0.9090909090909091
10,5,0.1,0.8387096774193549,0.9090909090909091
10,3,0.1,0.8387096774193549,0.9090909090909091
30,5,0.05,0.8387096774193549,0.9090909090909091
30,3,0.05,0.8387096774193549,0.9090909090909091
20,5,0.05,0.8387096774193549,0.9090909090909091
30,3,0.1,0.8387096774193549,0.9056603773584906
10,5,0.01,0.8064516129032258,0.8928571428571429
10,5,0.05,0.8064516129032258,0.8928571428571429
10,3,0.05,0.8064516129032258,0.8928571428571429
30,5,0.01,0.8064516129032258,0.8928571428571429
30,3,0.01,0.8064516129032258,0.8928571428571429
20,5,0.01,0.8064516129032258,0.8928571428571429
20,3,0.01,0.8064516129032258,0.8928571428571429
10,3,0.01,0.8064516129032258,0.8928571428571429
