n_estimators,max_depth,learning_rate,accuracy,f1_score
30,3,0.1,0.8918918918918919,0.8518518518518519
30,5,0.05,0.8783783783783784,0.8363636363636363
20,5,0.1,0.8783783783783784,0.8363636363636363
20,5,0.05,0.8648648648648649,0.8214285714285714
30,5,0.1,0.8648648648648649,0.8214285714285714
30,3,0.05,0.8648648648648649,0.8148148148148148
20,3,0.1,0.8648648648648649,0.8148148148148148
20,3,0.05,0.8648648648648649,0.8076923076923077
10,3,0.1,0.8648648648648649,0.8076923076923077
10,5,0.1,0.8513513513513513,0.8070175438596491
10,5,0.05,0.8513513513513513,0.7924528301886793
10,3,0.05,0.8513513513513513,0.7843137254901961
30,3,0.01,0.8378378378378378,0.76
30,5,0.01,0.7702702702702703,0.6222222222222222
10,5,0.01,0.6351351351351351,0.0
20,5,0.01,0.6351351351351351,0.0
20,3,0.01,0.6351351351351351,0.0
10,3,0.01,0.6351351351351351,0.0
