n_estimators,max_depth,learning_rate,accuracy,f1_score
30,5,0.1,0.9885057471264368,0.9866666666666667
30,3,0.1,0.9885057471264368,0.9866666666666667
20,5,0.1,0.9885057471264368,0.9866666666666667
30,5,0.05,0.9885057471264368,0.9866666666666667
30,3,0.05,0.9770114942528736,0.9736842105263158
20,3,0.1,0.9770114942528736,0.9736842105263158
10,3,0.1,0.9655172413793104,0.96
20,3,0.05,0.9655172413793104,0.96
10,5,0.1,0.9655172413793104,0.958904109589041
20,5,0.05,0.9655172413793104,0.958904109589041
10,5,0.05,0.9655172413793104,0.958904109589041
10,3,0.05,0.9655172413793104,0.958904109589041
30,5,0.01,0.9425287356321839,0.9295774647887324
30,3,0.01,0.9425287356321839,0.9295774647887324
10,5,0.01,0.5747126436781609,0.0
20,5,0.01,0.5747126436781609,0.0
20,3,0.01,0.5747126436781609,0.0
10,3,0.01,0.5747126436781609,0.0
