n_estimators,max_depth,learning_rate,accuracy,f1_score
10,3,0.01,0.6394557823129252,0.0
10,5,0.01,0.6394557823129252,0.0
20,3,0.01,0.6394557823129252,0.0
20,5,0.01,0.6394557823129252,0.0
30,3,0.01,0.6394557823129252,0.0
30,5,0.01,0.8027210884353742,0.6329113924050633
10,3,0.05,0.8231292517006803,0.6829268292682927
10,5,0.05,0.8401360544217688,0.7218934911242604
20,3,0.05,0.8707482993197279,0.7956989247311828
20,5,0.05,0.8843537414965986,0.8152173913043478
30,3,0.05,0.8809523809523809,0.8205128205128205
30,5,0.05,0.9149659863945578,0.8704663212435233
10,3,0.1,0.8707482993197279,0.7956989247311828
10,5,0.1,0.8843537414965986,0.8172043010752689
20,3,0.1,0.8809523809523809,0.8205128205128205
20,5,0.1,0.9319727891156463,0.898989898989899
30,3,0.1,0.9013605442176871,0.8512820512820513
30,5,0.1,0.9489795918367347,0.9253731343283582
