n_estimators,max_depth,learning_rate,accuracy,f1_score
20,5,0.05,0.9577464788732394,0.9702970297029703
30,3,0.05,0.9577464788732394,0.9702970297029703
20,5,0.1,0.9577464788732394,0.9702970297029703
10,5,0.1,0.9577464788732394,0.9702970297029703
30,5,0.1,0.9577464788732394,0.9702970297029703
20,3,0.05,0.9436619718309859,0.9607843137254902
30,5,0.05,0.9436619718309859,0.9607843137254902
10,3,0.1,0.9436619718309859,0.9607843137254902
20,3,0.1,0.9436619718309859,0.9607843137254902
30,3,0.1,0.9295774647887324,0.9504950495049505
10,5,0.05,0.9154929577464789,0.9423076923076923
30,5,0.01,0.8873239436619719,0.9245283018867925
10,3,0.05,0.8873239436619719,0.9245283018867925
30,3,0.01,0.8732394366197183,0.9158878504672897
10,5,0.01,0.6901408450704225,0.8166666666666667
20,5,0.01,0.6901408450704225,0.8166666666666667
20,3,0.01,0.6901408450704225,0.8166666666666667
10,3,0.01,0.6901408450704225,0.8166666666666667
