n_estimators,max_depth,learning_rate,accuracy,f1_score
10,3,0.05,0.75,0.8235294117647058
10,5,0.05,0.75,0.8235294117647058
10,3,0.01,0.6666666666666666,0.8
10,5,0.01,0.6666666666666666,0.8
20,3,0.05,0.75,0.8
20,5,0.05,0.75,0.8
30,5,0.01,0.6666666666666666,0.8
30,3,0.01,0.6666666666666666,0.8
20,5,0.01,0.6666666666666666,0.8
20,3,0.01,0.6666666666666666,0.8
10,3,0.1,0.6666666666666666,0.75
10,5,0.1,0.6666666666666666,0.75
30,3,0.05,0.6666666666666666,0.7142857142857143
30,5,0.05,0.6666666666666666,0.7142857142857143
20,3,0.1,0.6666666666666666,0.7142857142857143
20,5,0.1,0.6666666666666666,0.7142857142857143
30,3,0.1,0.6666666666666666,0.7142857142857143
30,5,0.1,0.6666666666666666,0.7142857142857143
