n_estimators,max_depth,learning_rate,accuracy,f1_score
10,3,0.01,0.5977011494252874,0.0
10,5,0.01,0.5977011494252874,0.0
20,3,0.01,0.5977011494252874,0.0
20,5,0.01,0.5977011494252874,0.0
30,3,0.01,0.7931034482758621,0.6666666666666666
30,5,0.01,0.7931034482758621,0.6666666666666666
10,3,0.05,0.7931034482758621,0.6666666666666666
10,5,0.05,0.7931034482758621,0.6666666666666666
20,3,0.05,0.7931034482758621,0.6666666666666666
20,5,0.05,0.8160919540229885,0.7142857142857143
30,3,0.05,0.8275862068965517,0.7457627118644068
30,5,0.05,0.8505747126436781,0.7796610169491526
10,3,0.1,0.7931034482758621,0.6666666666666666
10,5,0.1,0.8045977011494253,0.6909090909090909
20,3,0.1,0.8390804597701149,0.7666666666666667
20,5,0.1,0.8505747126436781,0.7796610169491526
30,3,0.1,0.8505747126436781,0.7868852459016393
30,5,0.1,0.8850574712643678,0.8387096774193549
