n_estimators,max_depth,learning_rate,accuracy,f1_score
30,5,0.1,0.7727272727272727,0.8
10,5,0.01,0.7272727272727273,0.75
30,3,0.1,0.7272727272727273,0.75
20,5,0.1,0.7272727272727273,0.75
20,3,0.1,0.7272727272727273,0.75
10,5,0.1,0.7272727272727273,0.75
10,3,0.1,0.7272727272727273,0.75
30,5,0.05,0.7272727272727273,0.75
30,3,0.05,0.7272727272727273,0.75
10,3,0.01,0.7272727272727273,0.75
20,3,0.05,0.7272727272727273,0.75
10,5,0.05,0.7272727272727273,0.75
10,3,0.05,0.7272727272727273,0.75
30,5,0.01,0.7272727272727273,0.75
30,3,0.01,0.7272727272727273,0.75
20,5,0.01,0.7272727272727273,0.75
20,3,0.01,0.7272727272727273,0.75
20,5,0.05,0.7272727272727273,0.75
