n_estimators,max_depth,learning_rate,accuracy,f1_score
30,5,0.1,1.0,1.0
20,5,0.1,1.0,1.0
10,3,0.1,0.8846153846153846,0.8571428571428571
30,3,0.1,0.8846153846153846,0.8571428571428571
20,3,0.1,0.8846153846153846,0.8571428571428571
10,3,0.05,0.8846153846153846,0.8571428571428571
20,3,0.05,0.8846153846153846,0.8571428571428571
30,3,0.05,0.8846153846153846,0.8571428571428571
20,5,0.01,0.8461538461538461,0.8181818181818182
10,5,0.01,0.8076923076923077,0.782608695652174
10,5,0.1,0.8461538461538461,0.7777777777777778
20,5,0.05,0.8461538461538461,0.7777777777777778
30,5,0.05,0.8461538461538461,0.7777777777777778
10,5,0.05,0.8461538461538461,0.7777777777777778
30,3,0.01,0.7692307692307693,0.7272727272727273
30,5,0.01,0.7692307692307693,0.7
20,3,0.01,0.7307692307692307,0.6956521739130435
10,3,0.01,0.6153846153846154,0.6428571428571429
