n_estimators,max_depth,learning_rate,accuracy,f1_score
10,3,0.01,0.7272727272727273,0.0
10,5,0.01,0.7272727272727273,0.0
20,3,0.01,0.7272727272727273,0.0
20,5,0.01,0.7272727272727273,0.0
30,3,0.01,0.7272727272727273,0.0
30,5,0.01,0.7272727272727273,0.0
10,3,0.05,0.7272727272727273,0.0
10,5,0.05,0.7272727272727273,0.0
20,3,0.05,0.7272727272727273,0.0
20,5,0.05,0.7272727272727273,0.0
30,3,0.05,0.7272727272727273,0.0
30,5,0.05,0.75,0.21428571428571427
10,3,0.1,0.7272727272727273,0.0
10,5,0.1,0.7272727272727273,0.0
20,3,0.1,0.7272727272727273,0.0
20,5,0.1,0.75,0.21428571428571427
30,3,0.1,0.7386363636363636,0.08
30,5,0.1,0.7613636363636364,0.27586206896551724
