n_estimators,max_depth,learning_rate,accuracy,f1_score
20,5,0.05,0.925,0.926829268292683
10,5,0.05,0.925,0.926829268292683
30,3,0.1,0.925,0.926829268292683
10,5,0.1,0.925,0.926829268292683
30,5,0.05,0.925,0.926829268292683
30,5,0.1,0.925,0.926829268292683
30,5,0.01,0.925,0.926829268292683
20,5,0.01,0.925,0.926829268292683
20,5,0.1,0.9,0.9047619047619048
20,3,0.05,0.875,0.8717948717948718
10,5,0.01,0.875,0.8717948717948718
10,3,0.1,0.875,0.8717948717948718
10,3,0.05,0.85,0.8333333333333334
30,3,0.05,0.85,0.8333333333333334
30,3,0.01,0.85,0.8333333333333334
20,3,0.1,0.85,0.8333333333333334
20,3,0.01,0.85,0.8333333333333334
10,3,0.01,0.85,0.8333333333333334
