n_estimators,max_depth,learning_rate,accuracy,f1_score
10,3,0.01,0.888,0.8914728682170543
10,5,0.01,0.904,0.904
20,3,0.01,0.888,0.8914728682170543
20,5,0.01,0.904,0.904
30,3,0.01,0.884,0.8871595330739299
30,5,0.01,0.904,0.904
10,3,0.05,0.884,0.8871595330739299
10,5,0.05,0.9,0.8979591836734694
20,3,0.05,0.884,0.8871595330739299
20,5,0.05,0.912,0.9133858267716536
30,3,0.05,0.888,0.889763779527559
30,5,0.05,0.92,0.9206349206349206
10,3,0.1,0.884,0.8871595330739299
10,5,0.1,0.916,0.9163346613545816
20,3,0.1,0.892,0.8932806324110671
20,5,0.1,0.92,0.9212598425196851
30,3,0.1,0.888,0.889763779527559
30,5,0.1,0.944,0.9448818897637795
