n_estimators,max_depth,learning_rate,accuracy,f1_score
10,3,0.01,0.6536796536796536,0.0
10,5,0.01,0.6536796536796536,0.0
20,3,0.01,0.6536796536796536,0.0
20,5,0.01,0.6536796536796536,0.0
30,3,0.01,0.6536796536796536,0.0
30,5,0.01,0.6536796536796536,0.0
10,3,0.05,0.7186147186147186,0.3564356435643564
10,5,0.05,0.7597402597402597,0.48847926267281105
20,3,0.05,0.7792207792207793,0.6106870229007634
20,5,0.05,0.829004329004329,0.6901960784313725
30,3,0.05,0.7857142857142857,0.6292134831460674
30,5,0.05,0.8658008658008658,0.7769784172661871
10,3,0.1,0.7813852813852814,0.6159695817490495
10,5,0.1,0.8311688311688312,0.7
20,3,0.1,0.7878787878787878,0.6423357664233577
20,5,0.1,0.8809523809523809,0.8083623693379791
30,3,0.1,0.8203463203463204,0.7067137809187279
30,5,0.1,0.9134199134199135,0.8648648648648649
