n_estimators,max_depth,learning_rate,accuracy,f1_score
30,3,0.1,0.9047619047619048,0.875
30,5,0.1,0.9047619047619048,0.8666666666666667
10,3,0.1,0.8809523809523809,0.8484848484848485
20,3,0.1,0.8809523809523809,0.8275862068965517
20,5,0.1,0.8333333333333334,0.8
30,5,0.05,0.8333333333333334,0.7878787878787878
30,3,0.05,0.8333333333333334,0.7741935483870968
10,3,0.05,0.8095238095238095,0.7647058823529411
20,3,0.05,0.8095238095238095,0.7333333333333333
20,3,0.01,0.7619047619047619,0.7222222222222222
30,3,0.01,0.7619047619047619,0.7222222222222222
30,5,0.01,0.7380952380952381,0.7027027027027027
10,5,0.1,0.7380952380952381,0.6857142857142857
20,5,0.05,0.7380952380952381,0.6857142857142857
10,5,0.05,0.7142857142857143,0.6842105263157895
20,5,0.01,0.7142857142857143,0.6666666666666666
10,3,0.01,0.6666666666666666,0.6111111111111112
10,5,0.01,0.6904761904761905,0.6060606060606061
