n_estimators,max_depth,learning_rate,accuracy,f1_score
30,3,0.1,0.8428571428571429,0.8952380952380953
30,3,0.05,0.8,0.8727272727272727
20,3,0.1,0.8,0.8727272727272727
20,5,0.05,0.7857142857142857,0.8598130841121495
10,3,0.1,0.7714285714285715,0.8571428571428571
30,5,0.05,0.7857142857142857,0.8571428571428571
20,5,0.1,0.7857142857142857,0.8543689320388349
30,5,0.1,0.7857142857142857,0.8543689320388349
20,3,0.05,0.7571428571428571,0.8495575221238938
10,5,0.05,0.7428571428571429,0.847457627118644
10,5,0.1,0.7571428571428571,0.8440366972477065
10,5,0.01,0.7142857142857143,0.8333333333333334
10,3,0.05,0.7142857142857143,0.8333333333333334
30,5,0.01,0.7142857142857143,0.8333333333333334
30,3,0.01,0.7142857142857143,0.8333333333333334
20,5,0.01,0.7142857142857143,0.8333333333333334
20,3,0.01,0.7142857142857143,0.8333333333333334
10,3,0.01,0.7142857142857143,0.8333333333333334
