n_estimators,max_depth,learning_rate,accuracy,f1_score
30,5,0.1,0.9655172413793104,0.96
30,3,0.05,0.9425287356321839,0.9333333333333333
30,3,0.1,0.9425287356321839,0.9333333333333333
20,5,0.1,0.9425287356321839,0.9333333333333333
20,3,0.1,0.9425287356321839,0.9333333333333333
10,5,0.1,0.9425287356321839,0.9333333333333333
10,3,0.1,0.9425287356321839,0.9333333333333333
30,5,0.05,0.9425287356321839,0.9333333333333333
20,5,0.05,0.9425287356321839,0.9333333333333333
20,3,0.05,0.9425287356321839,0.9333333333333333
30,5,0.01,0.9425287356321839,0.927536231884058
30,3,0.01,0.9425287356321839,0.927536231884058
10,5,0.05,0.9310344827586207,0.9166666666666666
10,3,0.05,0.9310344827586207,0.9166666666666666
10,5,0.01,0.5747126436781609,0.0
20,5,0.01,0.5747126436781609,0.0
20,3,0.01,0.5747126436781609,0.0
10,3,0.01,0.5747126436781609,0.0
